"Date","Adjusted_TSLA","Adjusted_SP500"
2017-07-03,23.507999420166,2429.01000976562
2017-07-05,21.8059997558594,2432.5400390625
2017-07-06,20.5886669158936,2409.75
2017-07-07,20.8813323974609,2425.17993164062
2017-07-10,21.0699996948242,2427.42993164062
2017-07-11,21.8146667480469,2425.53002929688
2017-07-12,21.9680004119873,2443.25
2017-07-13,21.5606670379639,2447.830078125
2017-07-14,21.8519992828369,2459.27001953125
2017-07-17,21.304666519165,2459.13989257812
2017-07-18,21.8826675415039,2460.61010742188
2017-07-19,21.6840000152588,2473.830078125
2017-07-20,21.9946670532227,2473.44995117188
2017-07-21,21.8933334350586,2472.5400390625
2017-07-24,22.8346672058105,2469.90991210938
2017-07-25,22.6399993896484,2477.1298828125
2017-07-26,22.9233322143555,2477.830078125
2017-07-27,22.2973327636719,2475.419921875
2017-07-28,22.3379993438721,2472.10009765625
2017-07-31,21.5646667480469,2470.30004882812
2017-08-01,21.304666519165,2476.35009765625
2017-08-02,21.7259998321533,2477.57006835938
2017-08-03,23.1393337249756,2472.15991210938
2017-08-04,23.7940006256104,2476.830078125
2017-08-07,23.67799949646,2480.90991210938
2017-08-08,24.3479995727539,2474.919921875
2017-08-09,24.2353324890137,2474.02001953125
2017-08-10,23.6933326721191,2438.2099609375
2017-08-11,23.8579998016357,2441.32006835938
2017-08-14,24.2533321380615,2465.84008789062
2017-08-15,24.1553325653076,2464.61010742188
2017-08-16,24.1940002441406,2468.11010742188
2017-08-17,23.461332321167,2430.01000976562
2017-08-18,23.1639995574951,2425.55004882812
2017-08-21,22.5240001678467,2428.3701171875
2017-08-22,22.7566661834717,2452.51000976562
2017-08-23,23.5179996490479,2444.0400390625
2017-08-24,23.5286674499512,2438.96997070312
2017-08-25,23.203332901001,2443.05004882812
2017-08-28,23.0440006256104,2444.23999023438
2017-08-29,23.1573333740234,2446.30004882812
2017-08-30,23.5453338623047,2457.59008789062
2017-08-31,23.7266674041748,2471.64990234375
2017-09-01,23.6933326721191,2476.55004882812
2017-09-05,23.3059997558594,2457.85009765625
2017-09-06,22.9686660766602,2465.5400390625
2017-09-07,23.3740005493164,2465.10009765625
2017-09-08,22.8933334350586,2461.42993164062
2017-09-11,24.246000289917,2488.11010742188
2017-09-12,24.1833324432373,2496.47998046875
2017-09-13,24.4153327941895,2498.3701171875
2017-09-14,25.1760005950928,2495.6201171875
2017-09-15,25.3206672668457,2500.22998046875
2017-09-18,25.6666679382324,2503.8701171875
2017-09-19,25.0066661834717,2506.64990234375
2017-09-20,24.9273338317871,2508.23999023438
2017-09-21,24.431999206543,2500.60009765625
2017-09-22,23.4060001373291,2502.21997070312
2017-09-25,22.9993324279785,2496.65991210938
2017-09-26,23.0166664123535,2496.84008789062
2017-09-27,22.7313327789307,2507.0400390625
2017-09-28,22.6399993896484,2510.06005859375
2017-09-29,22.7399997711182,2519.36010742188
2017-10-02,22.7686672210693,2529.1201171875
2017-10-03,23.2093334197998,2534.580078125
2017-10-04,23.6673336029053,2537.73999023438
2017-10-05,23.6886672973633,2552.07006835938
2017-10-06,23.7919998168945,2549.330078125
2017-10-09,22.8626670837402,2544.72998046875
2017-10-10,23.7059993743896,2550.63989257812
2017-10-11,23.6399993896484,2555.23999023438
2017-10-12,23.7119998931885,2550.92993164062
2017-10-13,23.7046661376953,2553.169921875
2017-10-16,23.3733329772949,2557.63989257812
2017-10-17,23.716667175293,2559.36010742188
2017-10-18,23.9766674041748,2561.26000976562
2017-10-19,23.4540004730225,2562.10009765625
2017-10-20,23.0066661834717,2575.2099609375
2017-10-23,22.4680004119873,2564.97998046875
2017-10-24,22.4893321990967,2569.1298828125
2017-10-25,21.7226676940918,2557.14990234375
2017-10-26,21.7446670532227,2560.39990234375
2017-10-27,21.3913326263428,2581.07006835938
2017-10-30,21.3386669158936,2572.830078125
2017-10-31,22.1019992828369,2575.26000976562
2017-11-01,21.4053325653076,2579.36010742188
2017-11-02,19.9506664276123,2579.85009765625
2017-11-03,20.4060001373291,2587.84008789062
2017-11-06,20.1853332519531,2591.1298828125
2017-11-07,20.4033336639404,2590.63989257812
2017-11-08,20.292667388916,2594.3798828125
2017-11-09,20.199333190918,2584.6201171875
2017-11-10,20.199333190918,2582.30004882812
2017-11-13,21.0266666412354,2584.84008789062
2017-11-14,20.5799999237061,2578.8701171875
2017-11-15,20.7533321380615,2564.6201171875
2017-11-16,20.8333320617676,2585.63989257812
2017-11-17,21.0033321380615,2578.85009765625
2017-11-20,20.5826663970947,2582.13989257812
2017-11-21,21.1873321533203,2599.03002929688
2017-11-22,20.8400001525879,2597.080078125
2017-11-24,21.0366668701172,2602.419921875
2017-11-27,21.1206665039062,2601.419921875
2017-11-28,21.1700000762939,2627.0400390625
2017-11-29,20.5026664733887,2626.07006835938
2017-11-30,20.5900001525879,2647.580078125
2017-12-01,20.4353332519531,2642.21997070312
2017-12-04,20.3466663360596,2639.43994140625
2017-12-05,20.2466678619385,2629.57006835938
2017-12-06,20.8840007781982,2629.27001953125
2017-12-07,20.7493324279785,2636.97998046875
2017-12-08,21.0086669921875,2651.5
2017-12-11,21.9273338317871,2659.98999023438
2017-12-12,22.7353324890137,2664.11010742188
2017-12-13,22.6019992828369,2662.85009765625
2017-12-14,22.5259990692139,2652.01000976562
2017-12-15,22.8966674804688,2675.81005859375
2017-12-18,22.5913333892822,2690.15991210938
2017-12-19,22.0733337402344,2681.46997070312
2017-12-20,21.931999206543,2679.25
2017-12-21,22.1106662750244,2684.57006835938
2017-12-22,21.6800003051758,2683.34008789062
